Name,Plant Type,Flowering Period,Flower Color,Fall Foliage Color,Sun,Soil Moisture,Summer Foliage Color,File Path,Bloom File Path, NonBloom File Path,size(inches)
Birdfoot Violet,Perennial,Spring,Blue Lavender Purple White,Green,Filtered-Shade Full-Sun,Dry,Green,PlantImages/Viola_pedata_1.jpg,PlantImages/BloomImage/Birdfoot_Violet_Bloom.jpg,PlantImages/NonBloomImage/Birdfoot_Violet_nonBloom.jpg,12
Silver Gem Prostrate Blue Violet,Perennial,Spring,Purple,None,Filtered-Shade Partial-Shade Shade,Average Dry Moist,Blue-Green Silver,PlantImages/Viola_Silver_Gem.png,PlantImages/BloomImage/Silver_Gem_Prostrate_Blue_Violet_Bloom.jpg,PlantImages/NonBloomImage/Silver_Gem_Prostrate_Blue_Violet_nonBloom.jpg,15
Southern Camas,Perennial,Summer,White,Brown,Full-Sun,Moist Wet,Blue-Green ,PlantImages/Zigadenus_glaberrimus_2.jpg,PlantImages/BloomImage/Southern_Camas_Bloom.jpg,PlantImages/NonBloomImage/Southern_Camas.jpg,32
Golden Alexanders,Perennial,Spring,Yellow,Green,Filtered-Shade Full-Sun ,Average Moist,Green,PlantImages/Zizia_aurea_1_1.jpg,PlantImages/BloomImage/Golden Alexanders_Bloom.jpg,PlantImages/NonBloomImage/Golden_Alexanders.jpg,24
Twisted Trillium,Perennial,Spring,Red,Green,Filtered-Shade Partial-Shade,Average Moist,Green,PlantImages/Trillium_stamineum_1.jpg,PlantImages/BloomImage/Twisted Trillium_Bloom.jpg,PlantImages/NonBloomImage/Twisted_Trillium.jpg,12
Southern Red Trillium,Perennial,Spring,Red White Yellow ,Green,Partial-Shade Shade,Average Moist,Green,PlantImages/Trillium_sulcatum_2.jpg,PlantImages/BloomImage/Southern_Red_Trillium_Bloom.jpg,PlantImages/NonBloomImage/Southern_Red_Trillium.jpg,12
Large-Flowered Bellwort,Perennial,Spring,Yellow,Green,Filtered-Shade Partial-Shade ,Average Moist ,Green,PlantImages/Uvularia_grandiflora_MCC_1.jpg,PlantImages/BloomImage/Large_Flowered_Bellwort_Bloom.jpg,PlantImages/NonBloomImage/Large-Flowered Bellwort-nonBloom.jpg,12
Stemless Ironweed,Perennial,Summer,Purple,Green,Filtered-Shade Full-Sun,Average Dry,Green,PlantImages/Vernonia_acaulis_2.jpg,PlantImages/BloomImage/Stemless_Ironweed_bloom.jpeg,PlantImages/NonBloomImage/Stemless_Ironweed.jpg,36
Tall Ironweed,Perennial,Fall,Purple,Green,Filtered-Shade Full-Sun ,Average Dry,Green,PlantImages/Vernonia_angustifolia_1.jpg,PlantImages/BloomImage/Tall_Ironweed_Bloom.jpg,PlantImages/NonBloomImage/Tall_Ironweed.jpg,36
New York Ironweed,Perennial,Fall,Purple,Green,Filtered-Shade Full-Sun ,Average Dry Moist,Green,PlantImages/Vernonia_noveboracensis_1.jpg,PlantImages/BloomImage/New_York_Ironweed_Bloom.jpg,PlantImages/NonBloomImage/New_York_Ironweed.jpg,48
Yellowroot,Shrub,Spring,Brown Purple ,Purple Red Yellow ,Filtered-Shade Full-Sun Partial-Shade,Average Dry Moist Wet,Green,PlantImages/Xanthorhiza_simplicissima_4.jpg,PlantImages/BloomImage/Yellowroot_Bloom.jpg,PlantImages/NonBloomImage/Yellowroot.jpg,12
Dusty Zenobia,Shrub,Spring,White,Green Multi-Color Orange Purple Red Yellow,Filtered-Shade Full-Sun,Average Dry Moist,Green,PlantImages/Zenobia_pulverulenta_3.jpg,PlantImages/BloomImage/Dusty_Zenobia_Bloom.jpg,PlantImages/NonBloomImage/Dusty_Zenobia.jpg,60
Lowbush Blueberry,Shrub,Spring,Multi-Color Orange Red Yellow,Purple Red,Filtered-Shade Full-Sun Partial-Shade,Average Dry Moist,Green,PlantImages/Vaccinium_angustifolium_MCC_1.jpg,PlantImages/BloomImage/Lowbush_Blueberry_Bloom.jpg,PlantImages/NonBloomImage/Lowbush_Blueberry.jpg,72
Maple-Leaved Viburnum,Shrub,Summer,White,Multi-Color Orange Red Yellow,Filtered-Shade Partial-Shade,Average Dry Moist,Green,PlantImages/Viburnum_acerifolium_1.jpg,PlantImages/BloomImage/Maple-Leaved_Viburnum_Bloom.jpg,PlantImages/NonBloomImage/Maple-Leaved_Viburnum.jpg,48
Arrowwood,Shrub,Summer,White,Yellow,Filtered-Shade Full-Sun Partial-Shade,Average Dry Moist,Green,PlantImages/Viburnum_dentatum_2.jpg,PlantImages/BloomImage/Arrowwood_Bloom.jpg,PlantImages/NonBloomImage/Arrowwood.jpg,96
Black Haw,Shrub,Spring,White,Purple Red,Filtered-Shade Full-Sun Partial-Shade,Average Dry Moist,Green,PlantImages/Viburnum_prunifolium_2.jpg,PlantImages/BloomImage/Black_Haw_Bloom.jpg,PlantImages/NonBloomImage/Black_Haw.jpg,120
Rusty Black Haw,Shrub,Spring,White,Purple Red,Filtered-Shade Full-Sun Partial-Shade,Average Dry Moist,Green,PlantImages/Viburnum_rufidulum_2.jpg,PlantImages/BloomImage/Rusty_Black_Haw_Bloom.jpg,PlantImages/NonBloomImage/Rusty_Black_Haw.jpg,120
Silky Camellia,Shrub,Summer,White,Green Yellow,Filtered-Shade Full-Sun,Average Moist,Green,PlantImages/Stewartia_malacodendron_1.jpg,PlantImages/BloomImage/Silky_Camellia_Bloom.jpg,PlantImages/NonBloomImage/Silky_Camellia.jpg,108
Plum-Leaf Azalea,Shrub,Spring,Orange-Salmon Red,Green Orange Red Yellow,Filtered-Shade Full-Sun,Average Dry,Green,PlantImages/Rhododendron_prunifolium_2.jpg,PlantImages/BloomImage/Plum_Leaf_Azalea_Bloom.jpg,PlantImages/NonBloomImage/Plum_Leaf_Azalea.jpg,60
Pink-Shell Azalea,Shrub,Spring,Pink,Orange Red Yellow,Filtered-Shade Full-Sun,Average Moist,Green,PlantImages/Rhododendron_vaseyi_2.jpg,PlantImages/BloomImage/Pink_Shell_Azalea_Bloom.jpg,PlantImages/NonBloomImage/Pink-Shell_Azalea.jpg,120
